,0
0,2.312414769942944
1,1.1010127567364327
2,0.2814919877836028
3,0.18691311229812949
4,0.146628602111504
5,0.12348297684473612
6,0.10807986802879781
7,0.09686432843222635
8,0.08831481107177869
9,0.0813850662968109
10,0.07568007631883222
11,0.07087136478732159
12,0.0667207220462148
13,0.06308125872982644
14,0.05990783740592647
15,0.05711340994829952
16,0.05448604918129849
17,0.05214860055054284
18,0.050059237442462566
19,0.04811928547316891
20,0.04633005921463474
21,0.04472189808466094
22,0.043248458593715886
23,0.04186033525080976
24,0.04057919790320339
25,0.039395133638240994
26,0.03827946437090298
27,0.03723480466605495
28,0.03628950697303582
29,0.035336192542232754
30,0.034489184164732484
31,0.03370986891548208
32,0.03291721136892447
33,0.03216198447215424
34,0.031465083740019016
35,0.0308221136630327
36,0.03018534243265216
37,0.029573688850585412
38,0.02902701535251178
39,0.02844868481521196
40,0.02793304171092588
41,0.027420772456426476
42,0.02693299740447565
43,0.02645725738663855
44,0.026004474284865388
45,0.025554169966707577
46,0.02514188609324369
47,0.02473324709034574
48,0.02433696433885587
49,0.023951377177563567
50,0.023567667837595563
51,0.023203996626817616
52,0.022851140732561757
53,0.022519782092220247
54,0.022202041058862382
55,0.021865331986843865
56,0.02157735063076152
57,0.02126747593911482
58,0.02096987385717485
59,0.02067478557950174
60,0.02039781803972622
61,0.02012365120794339
62,0.01984903443151694
63,0.019594507642506583
64,0.019324146570371063
65,0.01906503535331226
66,0.01882810341990513
67,0.018580992758104743
68,0.018352504931283434
69,0.01812303236799757
70,0.017901462455524802
71,0.017672806150064984
72,0.01748141471381269
73,0.01726013770572467
74,0.017056655790344395
75,0.016847708130093658
76,0.01664983220898834
77,0.0164471427425845
78,0.016254115985569414
79,0.016071067198661793
80,0.01588220311614797
81,0.015710953109242295
82,0.015519529083165323
83,0.015349838719823245
84,0.01517979168579725
85,0.015005892449312535
86,0.014839105295716205
87,0.014685150953693864
88,0.014513971017091981
89,0.014366382553038144
90,0.014210338652476999
91,0.01405289417324947
92,0.013903420453050177
93,0.013757051852784944
94,0.01360898217525618
95,0.01348321856835022
96,0.013336181418355224
97,0.013198916112787406
98,0.013059527972925151
99,0.012926622462395001
100,0.012789994923665522
101,0.012660393271607043
102,0.012539519322318688
103,0.01240292699052844
104,0.012287831252724115
105,0.012159895968973334
106,0.012047736371553416
107,0.01192677394024648
108,0.011814158583413581
109,0.01169745275207003
110,0.011588606725771207
111,0.011464178878840867
112,0.011359557093076638
113,0.01125070966873152
114,0.011143252492352712
115,0.011033397858645612
116,0.010927551720917071
117,0.010828644874208856
118,0.010726500269289035
119,0.01062736863259347
120,0.010526353203634544
121,0.010423929795877897
122,0.010338590804479617
123,0.01024259088242096
124,0.010147029970411506
125,0.010043130039877834
126,0.009960052951417957
127,0.009869029454342268
128,0.009777843756223745
129,0.009681775491156069
130,0.009593291158441972
131,0.009509052983137974
132,0.009430432337124414
133,0.009351406469790612
134,0.00926956318239813
135,0.009178970620170035
136,0.009106888828385994
137,0.009026637717250489
138,0.008959417152347306
139,0.00887990677726848
140,0.008799980231309061
141,0.008723428789806979
142,0.008658555268797401
143,0.008579680710826355
144,0.008502935197226204
145,0.008439101420706668
146,0.008361962947157298
147,0.00829655854348381
148,0.008230153786500521
149,0.008157545018455423
150,0.008094990620639874
151,0.008024658136590944
152,0.007963419706956186
153,0.007886792819024425
154,0.007840126984249704
155,0.0077631108420544905
156,0.007712757602264324
157,0.007640801657917559
158,0.007589493645990629
159,0.007525665394023393
160,0.0074679853374073485
161,0.007415062425927852
162,0.007350618344180725
163,0.007298381984029143
164,0.0072462669889697354
165,0.007187161130304033
166,0.007134045679060096
167,0.007082831305259207
168,0.007025561928879097
169,0.006977995816572545
170,0.0069254203710687945
171,0.00687442154716822
172,0.006825530967348068
173,0.006778646670004555
174,0.0067325286727836775
175,0.006676425124235701
176,0.006633877505820547
177,0.006587375232220992
178,0.006543478783415704
179,0.006495639929206637
180,0.0064539033288340975
181,0.006411128904036233
182,0.00636177794955955
183,0.006327708433348794
184,0.0062807021892234355
185,0.006242079837092523
186,0.006197871113546583
187,0.006166535379544581
188,0.006120961929476739
189,0.006086516178937236
190,0.0060396539784750005
191,0.006007191898733848
192,0.005968418466784399
193,0.005930503149057469
194,0.00589483607236017
195,0.005852593144012959
196,0.0058191676948265636
197,0.005782458577825805
198,0.005748374436855952
199,0.005713206099908761
200,0.0056784931538284835
201,0.005641261263628153
202,0.005608102472634696
203,0.005573617001264971
204,0.005537855360515487
205,0.005503607812651308
206,0.005473589750619253
207,0.005433009106498094
208,0.005408194837279223
209,0.005374233377522456
210,0.005341396953918835
211,0.005310313061643429
212,0.005278162053011864
213,0.005246017308884627
214,0.005215615086702064
215,0.0051893359746670665
216,0.00514966707580963
217,0.005127409565694146
218,0.005093510931723351
219,0.00506339463367845
220,0.005038190910508837
221,0.005005550524548545
222,0.004975932136927169
223,0.004948924277020164
224,0.0049175635129694506
225,0.004890356593917051
226,0.004859618065533307
227,0.00483087598629866
228,0.004800830636134674
229,0.004773017274826478
230,0.004744457248760401
231,0.004716950978394957
232,0.004690436396924679
233,0.004663565741944281
234,0.0046376009865227
235,0.0046074033288509425
236,0.00458191910198041
237,0.004556339160873175
238,0.004527093350124588
239,0.004504777507221223
240,0.004478117225158185
241,0.00445270687055779
242,0.004429387736677648
243,0.004403441039455449
244,0.004380895371576508
245,0.004354009583185948
246,0.004329809803810359
247,0.004305273894741556
248,0.004279778467565877
249,0.0042615566979658705
250,0.0042328163545008665
251,0.0042159929852394525
252,0.004190031388608662
253,0.004170557139413204
254,0.004145120770829865
255,0.004124605990589929
256,0.004102276290025995
257,0.004079695018183296
258,0.0040566857720258495
