,0
0,2.3125456740422417
1,2.1998293521348957
2,1.9837037560885933
3,1.4623355388513997
4,0.9061285772603074
5,0.7688062387440122
6,0.7073501383690152
7,0.6733255489207395
8,0.6382174235342186
9,0.6024558427840271
10,0.5819089407822224
11,0.5725841369452603
12,0.5593574492855541
13,0.5374803512450421
14,0.4813980752760283
15,0.45241804847264067
16,0.43073769697808045
17,0.4121227754627938
18,0.3913496468245747
19,0.3783085349747076
20,0.36637169960999955
21,0.3568785452267999
22,0.3504685655575114
23,0.34315162183778297
24,0.3367498600446097
25,0.32781227117163264
26,0.3223384576394781
27,0.31514162894950154
28,0.3103547869869923
29,0.30376083858968445
30,0.2950827804898959
31,0.291571977713756
32,0.28554959086330567
33,0.28448640271908715
34,0.2808587061242975
35,0.27782184752705025
36,0.27203896693670404
37,0.27065993804099114
38,0.2807519347995397
39,0.2763165360213154
40,0.2744741867329375
41,0.2792539035074722
42,0.26228774030140223
43,0.25710815258602177
44,0.2451164911402178
45,0.24823300982313742
46,0.24443656106488562
47,0.2583401414774124
48,0.2629808566997269
49,0.2711338221367849
50,0.2606403404350423
51,0.25816230888743413
52,0.23976782230849086
53,0.23335480071224446
54,0.2106726566615022
55,0.2179352864437573
56,0.2076707752430027
57,0.2070354490212713
58,0.2125087787266576
59,0.20780194356101672
60,0.2077530477177784
61,0.2111235328635709
62,0.20182546084207711
63,0.1969749690334839
64,0.19590157719817403
65,0.19805056856433725
66,0.19374719579138092
67,0.19077174352997656
68,0.18091453473175784
69,0.19174760597375914
70,0.2159361057451122
71,0.24305214464305688
72,0.18001630209398858
73,0.17524806296487563
74,0.17491250402312294
75,0.17400638807265906
76,0.18212466697482635
77,0.18215837308709704
78,0.17252088302345003
79,0.17514223132540627
80,0.17613851511964668
81,0.1734941266487058
82,0.17024808276560663
83,0.16913500588914035
84,0.1729488961858577
85,0.17519836450703938
86,0.17907704804477853
87,0.17303808996856432
88,0.1766492089537235
89,0.17284311899222815
90,0.16497171472988895
91,0.16512757670883402
92,0.18584681494060282
93,0.17214931967614647
94,0.16824751135499288
95,0.163016875222988
96,0.17110904518549555
97,0.16819101896663496
98,0.1693255824829487
99,0.16639986067879345
100,0.15694636965267303
101,0.1568905749436842
102,0.15967580984657578
103,0.16144630173391802
104,0.1562986359778014
105,0.15622419295174392
106,0.162381503973029
107,0.17452362122872211
108,0.17189769615055037
109,0.19458516513800417
110,0.16634098514472448
111,0.16700156442603548
112,0.1869068694363066
113,0.21165123136050434
114,0.22112065608950002
115,0.20838948419198985
116,0.1905743575065598
117,0.18062562569352555
118,0.17855619774837533
119,0.17298067539767376
120,0.14760858545548047
121,0.14328984361620517
122,0.15173393472330077
123,0.1438612202402912
124,0.15990128677003224
125,0.13978128091817754
126,0.14172521502299126
127,0.14451396788051976
128,0.15202464465562113
129,0.15216949496302248
130,0.14928187478705382
131,0.13855605034997132
132,0.14918132182370417
133,0.1339663627830336
134,0.1420223742958854
135,0.13718132143932055
136,0.1327834415952567
137,0.1396253670186297
138,0.14182948902535683
139,0.13643574973969022
140,0.12915863868590513
141,0.1427597949055798
142,0.12758210885544913
143,0.1223183651448528
144,0.11941533088012989
145,0.12120117653001802
146,0.12432007533551945
147,0.13438246487907785
148,0.1323525331242949
149,0.12728478762621487
150,0.12265220014372032
151,0.13869309430794094
152,0.13401829755869799
153,0.12523709437801178
154,0.12293426197755339
155,0.1297695437422321
156,0.13448975187067858
157,0.12981318637645503
158,0.13113684678773674
159,0.12737453820868505
160,0.12445131655646999
161,0.12449291963986471
162,0.12273366332046462
163,0.13747616226074738
164,0.13103067777135213
165,0.1215879401922401
166,0.12805951647149877
167,0.1333034632499133
168,0.1296759455042917
169,0.13619676229414243
170,0.14700446525315788
171,0.16823685759030504
172,0.1470586429980128
173,0.14792065754189912
174,0.15402752395499733
175,0.12710497774536905
176,0.12169766263019689
177,0.11829379227379339
178,0.11766796509778782
179,0.1305440238805285
180,0.1533159762131598
181,0.14685532439903282
182,0.17425649861269046
183,0.152485193626756
184,0.14473370259998836
185,0.11925359320313265
186,0.11602724597530505
187,0.11384695646376981
188,0.11689863561212525
189,0.10620486075830772
190,0.11250210834856635
191,0.17505342765052306
192,0.14826962016395134
193,0.14291356807950137
194,0.12214640228680136
195,0.11668125692766995
196,0.1265842024593715
197,0.12939073227676284
198,0.11515650806954637
199,0.13057101304405458
200,0.122649166179956
201,0.12731848493664236
202,0.12522086672295754
203,0.10541510458901256
204,0.10941691199523576
205,0.12251310341027877
206,0.12661097848610794
207,0.1480609572812309
208,0.1430676671307316
209,0.22724053393658689
210,0.14368619588646728
211,0.1062534172045176
212,0.09727574398232555
213,0.11510724979920352
214,0.10674384794995595
215,0.10532545102731056
216,0.10140716715991975
217,0.10297273959187897
218,0.10355193111645038
219,0.11618827763236485
220,0.11814242142919595
221,0.11185627070293193
222,0.10995155430427497
223,0.10707952955053504
224,0.10311664649324793
225,0.10237768977879572
226,0.1026869357415935
227,0.10986880039569488
228,0.11121381277014121
229,0.11233141926900078
230,0.1055216241949051
231,0.1127709264098759
232,0.11837315085351906
233,0.12685438070666716
234,0.11323427300039472
235,0.11217268826703564
236,0.10987403310302733
237,0.1046804896561389
238,0.10124414067459361
239,0.09927822272030838
240,0.09593210819093767
241,0.09653583209306835
242,0.10970189443057954
243,0.10541449124231428
244,0.10842032254434358
245,0.11186959172321692
246,0.11798474400134365
247,0.10116501280906635
248,0.1054887454937625
249,0.10063460280713322
250,0.12500504073166832
251,0.11780231804168335
252,0.1260327979896882
253,0.12541900420720561
254,0.1355117750602462
255,0.11278891039306047
256,0.12690014794915863
257,0.13060794271833792
258,0.13917431767438887
259,0.13439676844093115
260,0.1447713829629109
261,0.16379504739399794
262,0.1341896072540566
263,0.10360712078235425
264,0.10390330301897148
265,0.10001511710251156
